service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
"TA+b0pmi","1","0","0","1","1","0","0","20181209","20191214"
"TA+b05dp","0","1","1","0","0","0","0","20181209","20191214"
"TA+b05iv","0","0","0","0","1","0","0","20181209","20191214"
"TA+b06jz","0","1","1","0","0","0","0","20181209","20191214"
"TA+b11y7","1","1","0","0","0","0","0","20181209","20191214"
"TA+b0v8s","0","0","0","1","0","0","0","20181209","20191214"
"TA+b07dg","0","0","0","0","0","1","0","20181209","20191214"
"TA+b06mz","0","0","1","0","0","0","0","20181209","20191214"
"TA+b0ctt","0","0","0","0","0","0","1","20181209","20191214"
"TA+b11xt","1","1","1","1","0","0","1","20181209","20191214"
"TA+b11y0","1","1","1","1","0","0","1","20181209","20191214"
"TA+b0694","0","0","1","1","0","0","0","20181209","20191214"
"TA+b11xu","1","1","1","1","1","0","1","20181209","20191214"
"TA+b11y5","1","1","1","1","1","0","1","20181209","20191214"
"TA+b11xx","1","1","1","1","0","0","0","20181209","20191214"
"TA+b11y3","1","1","1","1","0","0","1","20181209","20191214"
"TA+b06m5","0","0","0","0","0","0","1","20181209","20191214"
"TA+b054k","0","1","0","0","0","0","0","20181209","20191214"
"TA+b07pe","0","0","1","1","0","0","0","20181209","20191214"
"TA+b117i","1","1","1","1","1","0","1","20181209","20191214"
"TA+b0w51","0","0","0","0","0","0","1","20181209","20191214"
"TA+b11y6","1","1","1","1","0","0","0","20181209","20191214"
"TA+b09p9","0","0","0","0","0","0","1","20181209","20191214"
"TA+b04tw","1","0","1","0","0","0","0","20181209","20191214"
"TA+b00hk","0","1","0","0","0","0","0","20181209","20191214"
"TA+b0bpv","0","1","0","0","0","0","0","20181209","20191214"
"TA+b0377","0","0","1","0","0","0","0","20181209","20191214"
"TA+b099t","0","0","0","0","0","0","1","20181209","20191214"
"TA+b0n22","0","0","1","0","0","0","1","20181209","20191214"
"TA+b0zp1","1","1","0","0","0","0","0","20181209","20191214"
"TA+b11y8","0","0","1","0","1","1","1","20181209","20191214"
"TA+b00gy","1","1","1","0","0","0","0","20181209","20191214"
"TA+b11y9","1","0","0","1","0","0","1","20181209","20191214"
"TA+b11ya","1","1","1","1","0","1","1","20181209","20191214"
"TA+b04yv","0","0","0","0","0","1","1","20181209","20191214"
"TA+b11z4","1","1","1","1","0","0","1","20181209","20191214"
"TA+b11z8","1","1","1","1","0","0","0","20181209","20191214"
"TA+b04l4","1","1","0","0","0","0","1","20181209","20191214"
"TA+b07oe","0","1","0","0","0","1","0","20181209","20191214"
"TA+b11yd","1","1","1","1","0","0","0","20181209","20191214"
"TA+b0wb4","1","0","0","0","0","0","0","20181209","20191214"
"TA+b11yb","1","1","1","1","1","1","1","20181209","20191214"
"TA+b06ok","1","0","0","0","0","0","0","20181209","20191214"
"TA+b039p","1","1","1","1","0","0","1","20181209","20191214"
"TA+b11z5","1","1","1","1","0","0","1","20181209","20191214"
"TA+b0x61","1","0","0","0","0","0","1","20181209","20191214"
"TA+b0bra","1","1","0","0","0","0","0","20181209","20191214"
"TA+b0bjp","0","0","0","0","1","0","0","20181209","20191214"
"TA+b081i","1","1","1","0","0","0","0","20181209","20191214"
"TA+b11ox","0","0","0","1","0","0","0","20181209","20191214"
"TA+b04s1","1","1","0","0","0","0","1","20181209","20191214"
"TA+b11yc","1","1","1","1","0","0","0","20181209","20191214"
"TA+b11ye","1","1","1","1","1","0","0","20181209","20191214"
"TA+b04sz","1","1","1","1","1","0","0","20181209","20191214"
"TA+b11ps","1","1","1","1","1","0","0","20181209","20191214"
"TA+b11yp","1","1","1","1","1","0","0","20181209","20191214"
"TA+b0bq2","0","0","0","0","1","0","0","20181209","20191214"
"TA+b05hg","0","0","0","1","1","0","0","20181209","20191214"
"TA+b07uo","1","0","0","1","1","0","0","20181209","20191214"
"TA+b11z0","1","1","1","1","0","0","0","20181209","20191214"
"TA+b11yf","1","1","1","0","0","0","0","20181209","20191214"
"TA+b11yg","0","0","0","1","1","0","0","20181209","20191214"
"TA+b11yh","1","0","1","0","0","0","0","20181209","20191214"
"TA+b1152","0","0","0","0","1","0","0","20181209","20191214"
"TA+b11yi","0","0","1","1","1","0","0","20181209","20191214"
"TA+b11ym","0","1","1","0","0","0","0","20181209","20191214"
"TA+b012f","1","0","0","0","0","0","0","20181209","20191214"
"TA+b01od","1","1","0","0","1","0","0","20181209","20191214"
"TA+b11yl","1","1","1","1","1","0","0","20181209","20191214"
"TA+b11yn","0","0","0","0","0","1","1","20181209","20191214"
"TA+b11yo","0","0","0","0","0","1","1","20181209","20191214"
"TA+b11yr","0","0","0","0","0","1","1","20181209","20191214"
"TA+b11ys","1","1","1","1","1","0","0","20181209","20191214"
"TA+b11yt","1","1","0","1","1","0","0","20181209","20191214"
"TA+b11yw","1","1","1","1","1","0","0","20181209","20191214"
"TA+b11yx","1","1","1","1","1","0","0","20181209","20191214"
"TA+b11yy","1","1","1","1","1","0","0","20181209","20191214"
"TA+b11yz","0","0","0","0","0","1","1","20181209","20191214"
"TA+b0rv8","1","1","1","1","1","0","0","20181209","20191214"
"TA+b11z2","0","0","1","0","1","1","1","20181209","20191214"
"TA+b0rei","1","1","1","1","1","0","0","20181209","20191214"
"TA+b05dr","0","0","0","0","1","1","1","20181209","20191214"
"TA+b11z7","0","0","1","0","1","1","1","20181209","20191214"
"TA+b053c","0","1","0","0","0","0","0","20181209","20191214"
"TA+b04b8","0","0","1","0","0","0","0","20181209","20191214"
"TA+b0m17","0","0","1","1","0","0","0","20181209","20191214"
"TA+b0ww7","1","1","1","1","1","0","0","20181209","20191214"
"TA+b0hwv","1","1","1","1","1","0","0","20181209","20191214"
"TA+b11ki","1","1","0","0","0","0","0","20181209","20191214"
"TA+b012b","0","1","0","0","0","0","0","20181209","20191214"
"TA+b0n62","1","1","1","1","1","0","0","20181209","20191214"
"TA+b0koy","1","1","1","1","1","0","0","20181209","20191214"
"TA+b07v5","1","1","1","1","1","0","0","20181209","20191214"
"TA+b11z9","1","0","0","0","0","0","1","20181209","20191214"
"TA+b0wbt","0","1","0","0","0","0","0","20181209","20191214"
"TA+b0c2p","1","0","0","0","0","0","0","20181209","20191214"
"TA+b0xtk","1","0","0","1","0","0","0","20181209","20191214"
"TA+b015v","0","1","0","0","0","0","0","20181209","20191214"
"TA+b11yj","1","1","1","1","1","0","0","20181209","20191214"
"TA+b08yf","0","0","0","0","0","1","1","20181209","20191214"
"TA+b06on","0","0","0","0","1","0","0","20181209","20191214"
"TA+b0bak","0","1","0","0","0","0","0","20181209","20191214"
"TA+b0yiq","0","0","1","1","1","0","0","20181209","20191214"
"TA+b0j3c","1","0","0","0","1","0","0","20181209","20191214"
"TA+b0awm","1","0","0","0","0","0","0","20181209","20191214"
"TA+b10o7","1","1","0","0","0","0","0","20181209","20191214"
"TA+b0udk","0","1","0","0","1","0","0","20181209","20191214"
"TA+b05mq","1","0","0","0","0","0","0","20181209","20191214"
"TA+b11yk","1","0","1","0","0","0","0","20181209","20191214"
"TA+b0bwd","0","1","1","0","0","0","0","20181209","20191214"
"TA+b0txv","1","1","1","1","1","0","0","20181209","20191214"
